r,l,t
0.88,37,1.706074
0.9,42,2.050911
-0.2700000000000001,100,2.783991
-0.23000000000000007,100,3.541128
0.7999999999999999,80,4.129694
0.88,58,4.577322
0.69,94,5.276823
