r,l,t
0.9,41,1.720643
-0.15,100,2.502627
0.9,41,2.787325
-0.2900000000000001,100,3.547118
0.89,66,4.03551
0.92,25,4.220185
0.9299999999999999,36,4.496261
0.99,12,4.58711
