r,l,t
0.94,21,1.866347
0.7899999999999999,79,2.481742
0.9299999999999999,33,2.737606
0.7999999999999999,76,3.281852
0.82,65,3.763461
0.96,19,3.919754
0.92,41,4.226653
0.9299999999999999,45,4.557545
0.8099999999999999,85,5.196595
