r,l,t
-0.3300000000000001,100,2.324225
0.91,32,2.555626
-0.23000000000000007,100,3.286527
0.7999999999999999,60,3.737769
0.69,93,4.428499
0.94,13,4.532166
-0.25000000000000006,100,5.266754
