r,l,t
0.89,51,2.197337
0.7999999999999999,55,2.656
0.88,79,3.214042
0.9,23,3.386647
-0.20000000000000004,100,4.145324
0.91,57,4.557552
0.92,33,4.811906
0.9299999999999999,18,4.95174
