r,l,t
0.95,27,2.002128
-0.24000000000000007,100,2.783441
-0.3000000000000001,100,3.506035
0.95,25,3.69582
1.0,7,3.748276
0.99,11,3.82713
-0.35000000000000014,100,4.575584
0.9299999999999999,34,4.841682
-0.4000000000000002,100,5.593242
