r,l,t
-0.23000000000000007,100,2.410609
0.95,23,2.578891
-0.3300000000000001,100,3.305899
-0.2700000000000001,100,4.060841
-0.36000000000000015,100,4.81846
0.84,39,5.10546
0.94,31,5.326999
0.99,8,5.400573
