r,l,t
-0.34000000000000014,100,2.286072
-0.3000000000000001,100,3.004964
0.84,30,3.2253
-0.35000000000000014,100,3.984281
-0.20000000000000004,100,4.745001
0.98,11,4.824508
0.89,47,5.152011
