r,l,t
0.92,62,1.916965
0.96,29,2.159354
0.94,36,2.439106
-0.38000000000000017,100,3.161723
0.7999999999999999,72,3.710627
0.88,73,4.249639
-0.45000000000000023,100,5.000159
0.94,38,5.287404
