r,l,t
0.89,43,2.06512
0.94,17,2.190057
0.94,16,2.331686
-0.2800000000000001,100,3.06906
0.99,10,3.147038
0.7799999999999999,62,3.610882
0.97,24,3.786098
-0.3000000000000001,100,4.537289
0.91,26,4.740499
0.95,16,4.860382
